BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU04170326;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;164.961538;109;55.9615385;0;0;0;0;2;15;42;140;627;617624;229325;366;0;0;571677.244;0;0;0;0;0;116;5396
BU04170327;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;371.030769;246;125.030769;0;0;0;0;2;19;42;186;1259;1192302;437640;348;0;0;1060334.04;0;0;0;0;0;256;5397
BU04170328;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;2375.52308;2199;176.523077;0;0;0;0;2;14;33;817;6640;5886975;2458304;370;0;0;4803139.04;0;0;0;0;0;2402;5398
BU04170329;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;380.276923;296;84.2769231;0;0;0;0;2;16;43;162;1594;1422000;530805;333;0;0;1290985.64;0;0;0;0;0;315;5399
BU04570001;WK045700;Weesp;Noord-Holland Zuid;Noord-Holland;;1519.8;1194;325.8;0;0;0;0;2;19;28;1322;4209;3627739;1328975;316;0;0;2912804.15;0;0;0;0;0;1373;5610
BU04570002;WK045700;Weesp;Noord-Holland Zuid;Noord-Holland;;586.484615;513;73.4846154;0;0;0;0;2;14;28;1875;1461;1201485;483027;331;0;0;933796.087;0;0;0;0;0;560;5611
BU04570101;WK045701;Weesp;Noord-Holland Zuid;Noord-Holland;;750.023077;118;632.023077;0;0;0;0;1;28;20;293;1871;1740198;451942;242;0;0;1499505.26;0;0;0;0;0;169;5612
BU04570102;WK045701;Weesp;Noord-Holland Zuid;Noord-Holland;;415.707692;368;47.7076923;0;0;0;0;1;14;28;1307;945;821083;324263;343;0;0;629484.318;0;0;0;0;0;390;5613
BU04570103;WK045701;Weesp;Noord-Holland Zuid;Noord-Holland;;333.415385;314;19.4153846;0;0;0;0;2;13;32;875;832;774987;313728;377;0;0;626966.863;0;0;0;0;0;331;5614
BU04570104;WK045701;Weesp;Noord-Holland Zuid;Noord-Holland;;259.3;254;5.3;0;0;0;0;2;13;31;857;662;597994;240713;364;0;0;471195.636;0;0;0;0;0;295;5615
BU04570201;WK045702;Weesp;Noord-Holland Zuid;Noord-Holland;;1162.01538;1106;56.0153846;0;0;0;0;1;11;26;1208;2175;1965850;831511;382;0;0;1430299.91;0;0;0;0;0;1132;5616
BU04570202;WK045702;Weesp;Noord-Holland Zuid;Noord-Holland;;553.353846;500;53.3538462;0;0;0;0;2;12;25;1173;1078;1003464;390813;362;0;0;750856.615;0;0;0;0;0;551;5617
BU04570301;WK045703;Weesp;Noord-Holland Zuid;Noord-Holland;;459.5;424;35.5;0;0;0;0;2;12;25;652;873;729771;269994;309;0;0;511580.893;0;0;0;0;0;458;5618
BU04570302;WK045703;Weesp;Noord-Holland Zuid;Noord-Holland;;1004.14615;930;74.1461538;0;0;0;0;2;14;25;1170;2099;1907489;723854;345;0;0;1400967.18;0;0;0;0;0;1085;5619
BU04570303;WK045703;Weesp;Noord-Holland Zuid;Noord-Holland;;1030.17692;904;126.176923;0;0;0;0;2;13;23;1316;1853;1647555;574721;310;0;0;1162157.83;0;0;0;0;0;1004;5620
BU04570304;WK045703;Weesp;Noord-Holland Zuid;Noord-Holland;;2695.4;75;2620.4;0;0;0;0;1;17;12;393;5845;4943235;1365501;234;0;0;4475343.26;0;0;0;0;0;408;5621
BU04570401;WK045704;Weesp;Noord-Holland Zuid;Noord-Holland;;756.723077;702;54.7230769;0;0;0;0;1;13;29;899;1646;1557328;632198;384;0;0;1217216.29;0;0;0;0;0;728;5622
BU04570402;WK045704;Weesp;Noord-Holland Zuid;Noord-Holland;;797.338462;797;0.338461538;0;0;0;0;1;10;29;952;1660;1471936;629294;379;0;0;1115478.92;0;0;0;0;0;801;5623
BU04570701;WK045707;Weesp;Noord-Holland Zuid;Noord-Holland;;165.461538;115;50.4615385;0;0;0;0;3;22;38;12;493;639369;181613;368;0;0;586016.143;0;0;0;0;0;144;5624
BU04570801;WK045708;Weesp;Noord-Holland Zuid;Noord-Holland;;220.430769;136;84.4307692;0;0;0;0;5;23;37;8;685;974760;266123;388;0;0;908568.609;0;0;0;0;0;245;5625
BU04570901;WK045709;Weesp;Noord-Holland Zuid;Noord-Holland;;627.553846;510;117.553846;0;0;0;0;2;21;28;630;1228;1196807;294950;240;0;0;900311.876;0;0;0;0;0;550;5626
BU04570902;WK045709;Weesp;Noord-Holland Zuid;Noord-Holland;;297.507692;12;285.507692;0;0;0;0;1;27;15;258;525;558136;65137;124;0;0;480220.564;0;0;0;0;0;43;5627
