BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU04060919;WK040609;Huizen;Noord-Holland Zuid;Noord-Holland;;1437.36923;1409;28.3692308;0;26;0;0;2;12;35;1189;2943;2576949;1009782;343;0;0;1685221.43;0;0;1469;0;0;0;5368
BU04061020;WK040610;Huizen;Noord-Holland Zuid;Noord-Holland;;778.253846;750;28.2538462;0;26;0;0;1;12;35;1013;1601;1393073;544442;340;0;0;933822.258;0;0;778;0;0;0;5369
BU04061021;WK040610;Huizen;Noord-Holland Zuid;Noord-Holland;;222.569231;221;1.56923077;0;29;0;0;2;13;39;873;518;437163;160446;310;0;0;258451.628;0;0;233;0;0;0;5370
BU04061123;WK040611;Huizen;Noord-Holland Zuid;Noord-Holland;;1492.73077;1478;14.7307692;0;28;0;0;1;12;37;1037;3211;2719806;1035259;322;0;0;1684801.6;0;0;1513;0;0;0;5371
BU04061124;WK040611;Huizen;Noord-Holland Zuid;Noord-Holland;;911.446154;821;90.4461538;0;23;0;0;1;15;31;1826;1687;1595846;675516;401;0;0;1153541.73;0;0;879;0;0;0;5372
BU04061125;WK040611;Huizen;Noord-Holland Zuid;Noord-Holland;;622.346154;593;29.3461538;0;25;0;0;1;12;33;699;1201;1121179;451764;376;0;0;745222.309;0;0;601;0;0;0;5373
BU04061226;WK040612;Huizen;Noord-Holland Zuid;Noord-Holland;;822.530769;801;21.5307692;0;31;0;0;2;12;40;884;1734;1359242;363376;210;0;0;756249.634;0;0;811;0;0;0;5374
BU04061231;WK040612;Huizen;Noord-Holland Zuid;Noord-Holland;;120;120;0;0;36;0;0;2;12;47;978;294;190046;35169;120;0;0;103342.269;0;0;120;0;0;0;5375
BU04170320;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;1735.95385;995;740.953846;0;29;0;0;3;31;43;1026;5821;5555002;2031603;349;0;0;4112871.02;0;0;1369;0;0;0;5390
BU04170321;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;174.6;5;169.6;0;26;0;0;1;64;52;15;1034;717741;147384;142;0;0;593651.819;0;0;11;0;0;0;5391
BU04170322;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;683.8;569;114.8;0;31;0;0;2;20;42;579;1758;1662254;619751;353;0;0;1118100.25;0;0;621;0;0;0;5392
BU04170323;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;545.192308;512;33.1923077;0;41;0;0;2;16;56;309;1881;1740877;751778;400;0;0;1189469.34;0;0;553;0;0;0;5393
BU04170324;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;183.223077;164;19.2230769;0;28;0;0;2;14;36;759;373;303174;90597;243;0;0;182590.66;0;0;169;0;0;0;5394
BU04170325;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;161.346154;154;7.34615385;0;53;0;0;3;15;71;143;659;691870;288387;438;0;0;450783.293;0;0;157;0;0;0;5395
BU04170326;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;164.961538;109;55.9615385;0;42;0;0;2;18;58;194;627;644637;256338;409;0;0;480130.41;0;0;116;0;0;0;5396
