BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas
BU04570304;WK045703;Weesp;Noord-Holland Zuid;Noord-Holland;;2695.4;75;2620.4;39;0;0;0;1;17;39;1277;0;3577734;0;0;168758.414;89869.7196;3083764.8;408;0;0;0;0;0
BU04570401;WK045704;Weesp;Noord-Holland Zuid;Noord-Holland;;756.723077;702;54.7230769;39;0;0;0;1;13;39;1209;0;925130;0;0;1536455.3;961234.507;581256.101;728;0;0;0;0;0
BU04570402;WK045704;Weesp;Noord-Holland Zuid;Noord-Holland;;797.338462;797;0.338461538;37;0;0;0;1;10;37;1215;0;842642;0;0;1659712.07;1053642.09;483964.273;801;0;0;0;0;0
BU04570701;WK045707;Weesp;Noord-Holland Zuid;Noord-Holland;;165.461538;115;50.4615385;53;0;0;0;3;22;53;17;0;457756;0;0;382167.114;163582.352;402641.637;144;0;0;0;0;0
BU04570801;WK045708;Weesp;Noord-Holland Zuid;Noord-Holland;;220.430769;136;84.4307692;56;0;0;0;5;23;56;12;0;708637;0;0;498946.405;194666.143;640043.629;245;0;0;0;0;0
BU04570901;WK045709;Weesp;Noord-Holland Zuid;Noord-Holland;;627.553846;510;117.553846;35;0;0;0;2;21;35;788;0;901857;0;0;974120.044;723267.384;598955.104;550;0;0;0;0;0
BU04570902;WK045709;Weesp;Noord-Holland Zuid;Noord-Holland;;297.507692;12;285.507692;32;0;0;0;1;27;32;550;0;492999;0;0;39632.7224;16731.6924;409441.314;43;0;0;0;0;0
BU04570903;WK045709;Weesp;Noord-Holland Zuid;Noord-Holland;;36.7461538;33;3.74615385;46;0;0;0;3;17;46;5;0;230515;0;0;88089.8322;46999.1609;239595.134;38;0;0;0;0;0
BU16960000;WK169600;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;939.369231;714;225.369231;56;0;0;0;2;19;56;101;0;1849220;0;0;1906335.91;970498.084;1467217.09;801;0;0;0;0;0
BU16960100;WK169601;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;190.769231;158;32.7692308;59;0;0;0;3;17;59;37;0;417754;0;0;488457.107;219669.79;343261.616;183;0;0;0;0;0
BU16960101;WK169601;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;2964.28462;2674;290.284615;42;0;0;0;2;14;42;333;0;3915003;0;0;6099278.85;3687915.32;2499740.71;3039;0;0;0;0;0
BU16960102;WK169601;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;88.9153846;75;13.9153846;58;0;0;0;3;14;58;72;0;200900;0;0;256461.762;104335.326;169686.869;86;0;0;0;0;0
BU16960103;WK169601;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;42.5538462;38;4.55384615;64;0;0;0;4;13;64;12;0;132951;0;0;139331.962;53280.1236;125269.45;49;0;0;0;0;0
BU16960200;WK169602;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;125.161538;120;5.16153846;58;0;0;0;2;13;58;31;0;202532;0;0;385760.824;167152.059;147229.633;124;0;0;0;0;0
