BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU04570104;WK045701;Weesp;Noord-Holland Zuid;Noord-Holland;;259.3;254;5.3;0;0;0;3;2;15;24;664;662;568353;211072;319;0;0;441411.29;0;0;0;0;295;0;5615
BU04570201;WK045702;Weesp;Noord-Holland Zuid;Noord-Holland;;1162.01538;1106;56.0153846;0;0;0;2;1;13;19;883;2175;1892505;758166;349;0;0;1355553.6;0;0;0;0;1132;0;5616
BU04570202;WK045702;Weesp;Noord-Holland Zuid;Noord-Holland;;553.353846;500;53.3538462;0;0;0;2;2;14;18;845;1078;956323;343672;319;0;0;702034.586;0;0;0;0;551;0;5617
BU04570301;WK045703;Weesp;Noord-Holland Zuid;Noord-Holland;;459.5;424;35.5;0;0;0;2;2;14;18;470;873;682045;222268;255;0;0;462740.944;0;0;0;0;458;0;5618
BU04570302;WK045703;Weesp;Noord-Holland Zuid;Noord-Holland;;1004.14615;930;74.1461538;0;0;0;2;2;15;18;842;2099;1823828;640193;305;0;0;1316294.28;0;0;0;0;1085;0;5619
BU04570303;WK045703;Weesp;Noord-Holland Zuid;Noord-Holland;;1030.17692;904;126.176923;0;0;0;2;2;15;17;973;1853;1537225;464391;251;0;0;1050150.93;0;0;0;0;1004;0;5620
BU04570304;WK045703;Weesp;Noord-Holland Zuid;Noord-Holland;;2695.4;75;2620.4;0;0;0;1;1;18;7;229;5845;4193429;615695;105;0;0;3696380.13;0;0;0;0;408;0;5621
BU04570401;WK045704;Weesp;Noord-Holland Zuid;Noord-Holland;;756.723077;702;54.7230769;0;0;0;2;1;15;21;651;1646;1465480;540350;328;0;0;1124129.21;0;0;0;0;728;0;5622
BU04570402;WK045704;Weesp;Noord-Holland Zuid;Noord-Holland;;797.338462;797;0.338461538;0;0;0;2;1;12;21;689;1660;1405414;562772;339;0;0;1048554.13;0;0;0;0;801;0;5623
BU04570701;WK045707;Weesp;Noord-Holland Zuid;Noord-Holland;;165.461538;115;50.4615385;0;0;0;4;3;25;27;9;493;585580;127824;259;0;0;531129.63;0;0;0;0;144;0;5624
BU04570801;WK045708;Weesp;Noord-Holland Zuid;Noord-Holland;;220.430769;136;84.4307692;0;0;0;4;5;26;26;5;685;893748;185111;270;0;0;826003.125;0;0;0;0;245;0;5625
BU04570901;WK045709;Weesp;Noord-Holland Zuid;Noord-Holland;;627.553846;510;117.553846;0;0;0;3;2;23;21;473;1228;1087185;185328;151;0;0;787538.698;0;0;0;0;550;0;5626
BU04570902;WK045709;Weesp;Noord-Holland Zuid;Noord-Holland;;297.507692;12;285.507692;0;0;0;2;1;28;10;172;525;468172;-24827;-47;0;0;384755.669;0;0;0;0;43;0;5627
BU04570903;WK045709;Weesp;Noord-Holland Zuid;Noord-Holland;;36.7461538;33;3.74615385;0;0;0;3;3;19;25;3;95;267670;37155;391;0;0;276858.87;0;0;0;0;38;0;5628
BU16960000;WK169600;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;939.369231;714;225.369231;0;0;0;3;2;21;23;41;2936;2492170;642950;219;0;0;2114095.32;0;0;0;0;801;0;10098
BU16960100;WK169601;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;190.769231;158;32.7692308;0;0;0;4;3;20;28;18;625;577862;160108;256;0;0;503475.375;0;0;0;0;183;0;10099
BU16960101;WK169601;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;2964.28462;2674;290.284615;0;0;0;3;2;16;23;182;6980;5855717;1940714;278;0;0;4447924.33;0;0;0;0;3039;0;10100
BU16960102;WK169601;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;88.9153846;75;13.9153846;0;0;0;4;3;17;29;36;286;287113;86213;301;0;0;256055.399;0;0;0;0;86;0;10101
BU16960103;WK169601;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;42.5538462;38;4.55384615;0;0;0;4;4;17;32;6;152;186333;53382;351;0;0;178753.974;0;0;0;0;49;0;10102
BU16960200;WK169602;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;125.161538;120;5.16153846;0;0;0;4;2;16;29;16;405;335156;132624;328;0;0;280160.386;0;0;0;0;124;0;10103
BU16960201;WK169602;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;559.961538;491;68.9615385;0;0;0;3;2;15;23;56;1449;1301358;422320;291;0;0;1059447.85;0;0;0;0;571;0;10104
BU16960202;WK169602;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;71.2461538;56;15.2461538;0;0;0;4;2;24;28;14;237;192555;64757;273;0;0;157255.497;0;0;0;0;61;0;10105
