bron_naam;bron_id;x_coord;y_coord;ingebruik;uitgebruik;MWth_max;bron_vol;bron_cap;T_bron;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor;SourceType
M H M  de Koning BV;1493;4.88383;52.3787;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Marqt BV;1494;4.8979;52.3654;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.34067414;LT
Marqt BV;1495;4.86602;52.346;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00424431;LT
Marqt BV;1496;4.88972;52.3811;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
Marqt BV;1497;4.8851;52.3704;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.15247051;LT
Marqt BV;1498;4.90182;52.3548;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
Multi Tokorien IJburg;1499;5.00546;52.3516;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
Pasteuning Wijn   Catering BV;1500;4.87782;52.3578;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.19038517;LT
Sean BV;1501;4.8681;52.3245;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.38980259;LT
Slooten Supermarkt BV;1502;4.91702;52.4078;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00190496;LT
Stach BV;1503;4.89912;52.371;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
Stationsfoodstore BV;1504;4.90096;52.3794;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Stationsfoodstore BV;1505;4.89033;52.337;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
Stationsfoodstore BV;1506;4.91867;52.3467;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00744382;LT
Stationsfoodstore BV;1507;4.948;52.3131;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.08072472;LT
Sterk Waterlooplein BV;1508;4.87368;52.3716;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
