bron_naam;Label;x_coord;y_coord;ingebruik;uitgebruik;MWth_max;bron_vol;bron_cap;T_bron;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor;SourceType
albert heijn bv;2307;4.6671;52.5109;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00139844;LT
albert heijn bv;2308;4.65596;52.5047;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00164195;LT
deen winkels bv;2309;4.67804;52.4945;1999;1999;0.048587222;0.7;0.3;30;50;250;;0;LT
deen winkels bv;2310;4.67108;52.5098;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.00772025;LT
deka supermarkten bv;2311;4.66908;52.5106;1999;1999;0.048587222;0.7;0.3;30;50;250;;1.00139844;LT
lidl nederland gmbh;2312;4.68578;52.4949;1999;1999;0.113370123;0.7;0.3;30;50;250;;0;LT
supermarkt roemer bv;2313;4.67676;52.5128;1999;1999;0.485872099;0.7;0.3;30;50;250;;1.00010725;LT
vomar voordeelmarkt bv;2314;4.69234;52.4925;1999;1999;0.113370123;0.7;0.3;30;50;250;;0;LT
vomar voordeelmarkt bv;2315;4.65513;52.5077;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.00164195;LT
van der hulst supermarkt bv;2319;4.6285;52.3601;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.00531917;LT
albert heijn bv;2431;5.15571;52.2145;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.06115399;LT
albert heijn bv;2432;5.17562;52.222;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.08291917;LT
albert heijn bv;2433;5.14075;52.2161;1999;1999;0.485872099;0.7;0.3;30;50;250;;1.04320339;LT
albert heijn bv;2434;5.16792;52.2155;1999;1999;0.242936049;0.7;0.3;30;50;250;;1.00010921;LT
albert heijn bv;2435;5.19209;52.2324;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.01275615;LT
albert heijn hilversumse meent bv;2436;5.13773;52.2708;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.01324941;LT
c  van dam hilversum bv;2437;5.18845;52.2329;1999;1999;0.113370123;0.7;0.3;30;50;250;;1.01275615;LT
