Bron_naam;bron_id;x_coord;y_coord;ingebruik;uitgebruik;MWth_max;Bron_vol;Bron_cap;T_bron;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor;SourceType
deka supermarkten bv;;4.64566;52.4016;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0.924573887;LT
deka supermarkten bv;;4.6423;52.3717;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00055872;LT
deka supermarkten bv;;4.65268;52.4159;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00129973;LT
deka supermarkten bv;;4.63223;52.3806;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
deka supermarkten bv;;4.6293;52.3938;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00243305;LT
jumbo haarlem;;4.65384;52.3519;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00827542;LT
plus3;;4.64856;52.4171;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.06415109;LT
stationsfoodstore bv;;4.63968;52.3884;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.01408018;LT
supermarkt van der wijden bv;;4.63167;52.4004;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00243305;LT
vof bouwens ravestein supermarkten   slijterijen;;4.6469;52.417;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.06415109;LT
vomar voordeelmarkt bv;;4.64817;52.3647;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.04952394;LT
vomar voordeelmarkt bv;;4.64904;52.391;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.03248192;LT
vomar voordeelmarkt bv;;4.66371;52.3553;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0.692980046;LT
vomar voordeelmarkt bv;;4.63844;52.3732;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00055872;LT
albert heijn;;4.61977;52.2707;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00132644;LT
albert heijn bv;;4.69402;52.3016;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00013891;LT
albert heijn bv;;4.77873;52.3382;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0.953083368;LT
albert heijn bv;;4.66418;52.3018;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.09069115;LT
albert heijn bv;;4.63862;52.307;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0;LT
albert heijn bv;;4.76304;52.3105;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.02564404;LT
bun supermarkten bv;;4.65952;52.3147;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00149926;LT
coop supermarkten bv;;4.63948;52.3064;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
deen winkels bv;;4.65872;52.3148;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00149926;LT
detailconsult supermarkten bv;;4.63176;52.2643;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.27781744;LT
food village  schiphol  bv;;4.76304;52.3105;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.02564404;LT
food village  schiphol  bv;;4.69919;52.2664;1999;1999;0.242936049;0.7;0.3;30;50;250;0;2.82236628;LT
gebr  verburg i  bv;;4.7502;52.3789;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0.192703338;LT
hofman supermarkten bv;;4.67096;52.309;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00633021;LT
hoogvliet bv;;4.61931;52.2626;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.07054327;LT
hoogvliet bv;;4.67653;52.3504;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00266771;LT
lidl nederland gmbh;;4.77903;52.3388;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0.953083368;LT
lidl nederland gmbh;;4.62044;52.2711;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00132644;LT
super j  dekker rijsenhout bv;;4.71502;52.2586;1999;1999;0.113370123;0.7;0.3;30;50;250;0;2.82236628;LT
vof bouwens ravestein supermarkten   slijterijen;;4.68532;52.4114;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0.0543062708;LT
vof van vliet;;4.63253;52.2645;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.27781744;LT
vomar voordeelmarkt bv;;4.67756;52.3031;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00187911;LT
vomar voordeelmarkt bv;;4.77766;52.3365;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.01379397;LT
world of delights schiphol bv;;4.76411;52.3104;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.02564404;LT
albert heijn bv;;4.6671;52.5109;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
albert heijn bv;;4.65596;52.5047;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00404335;LT
deen winkels bv;;4.67804;52.4945;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00518306;LT
deen winkels bv;;4.67108;52.5098;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
deka supermarkten bv;;4.66908;52.5106;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
lidl nederland gmbh;;4.68578;52.4949;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00022071;LT
supermarkt roemer bv;;4.67676;52.5128;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.04614422;LT
vomar voordeelmarkt bv;;4.69234;52.4925;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00022071;LT
vomar voordeelmarkt bv;;4.65513;52.5077;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00404335;LT
